id,title,island,locality,area,price,beds,size,floor,date
,"Flat / Apartment in Son Gotleu, Palma de Mallorca",Mallorca,Palma de Mallorca,Son Gotleu,120000,3,98,2,2020-09-15
,Flat / Apartment in Muro,Mallorca,Muro,,160000,3,149,1,2020-09-15
,"Flat / Apartment in Son Amonda - Reis Catòlics, Inca",Mallorca,Inca,Son Amonda - Reis Catòlics,135000,3,94,3,2020-09-15
,"Flat / Apartment in Cala Ferrera - Cala Serena, Felanitx",Mallorca,Felanitx,Cala Ferrera - Cala Serena,140000,2,70,1,2020-09-15
,"Penthouse in ausias march, 9, Bons Aires, Palma de Mallorca",Mallorca,Palma de Mallorca,Bons Aires,190000,3,115,3,2020-09-15
,"Flat / Apartment in sant rafael, La Soledat, Palma de Mallorca",Mallorca,Palma de Mallorca,La Soledat,169000,3,90,2,2020-09-15
,"Flat / Apartment in calle Mare de Déu de Montserrat, 17, Rafal Vell, Palma de Mallorca",Mallorca,Palma de Mallorca,Rafal Vell,190000,3,100,1,2020-09-15
,"Flat / Apartment in calle de Pere Ripoll i Palou, 20, Rafal Vell, Palma de Mallorca",Mallorca,Palma de Mallorca,Rafal Vell,188000,3,112,1,2020-09-15
,"Flat / Apartment in ferragut, 4, Son Roca - Son Ximelis - Son Anglada, Palma de Mallorca",Mallorca,Palma de Mallorca,Son Roca - Son Ximelis - Son Anglada,117260,3,83,2,2020-09-15
,"Flat / Apartment in plaza Fèlix Rodríguez de la Fuente, Son Cladera - Son Fuster, Palma de Mallorca",Mallorca,Palma de Mallorca,Son Cladera - Son Fuster,98000,2,64,2,2020-09-15
,"Flat / Apartment in Cap Roig, Puerto de Pollença",Mallorca,Puerto de Pollença,Cap Roig,190000,2,57,2,2020-09-15
,"Flat / Apartment in Binicanella, Cala Millor",Mallorca,Cala Millor,Binicanella,139000,2,94,2,2020-09-15
,"Flat / Apartment in Son Cotoner, Palma de Mallorca",Mallorca,Palma de Mallorca,Son Cotoner,199900,4,120,3,2020-09-15
,"Flat / Apartment in plaza de Miquel Riera i Perelló, Sa Indiotería - Son Castelló, Palma de Mallorca",Mallorca,Palma de Mallorca,Sa Indiotería - Son Castelló,170000,2,90,1,2020-09-15
,"Penthouse in Rafael alberti, 55, Gran Via de Colom, Inca",Mallorca,Inca,Gran Via de Colom,168000,2,176,2,2020-09-15
,"Flat / Apartment in Des forn, 13, Montuiri",Mallorca,Montuiri,13,175000,2,120,1,2020-09-15
,"Flat / Apartment in calle de Pere Llobera, Pere Garau, Palma de Mallorca",Mallorca,Palma de Mallorca,Pere Garau,149000,2,84,2,2020-09-15
,"Flat / Apartment in Nou Llevant, Palma de Mallorca",Mallorca,Palma de Mallorca,Nou Llevant,177000,3,92,3,2020-09-15
