date,daily_cases,country
"28 Jun
,0
,0
,0
,0
,1
,5
,0
,0
,6
,0
,0
,1
,0
,0
,0
,1
,0
,0
,0
,0
,10
,0
,0
,0
,0
,0
,
,
",3,Ireland
"29 Jun
,0
,0
,-1
,0
,0
,4
,0
,0
,1
,0
,0
,1
,0
,0
,0
,0
,0
,0
,0
,0
,3
,0
,1
,0
,0
,0
,
,
",24,Ireland
"30 Jun
,0
,0
,0
,0
,0
,2
,1
,0
,0
,0
,0
,0
,2
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,-2
,
,
",11,Ireland
"1 Jul
,0
,0
,0
,4
,0
,6
,0
,0
,3
,0
,0
,0
,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,1
,0
,0
,
,
",6,Ireland
"4 Jul
,0
,2
,0
,3
,1
,8
,0
,0
,6
,1
,0
,2
,1
,1
,1
,0
,3
,0
,3
,1
,4
,-1
,0
,1
,1
,0
,
,
",11,Ireland
"5 Jul
,0
,0
,0
,-1
,0
,-15
,0
,1
,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,1
,0
,0
,0
,0
,0
,
,
",18,Ireland
"6 Jul
,0
,0
,0
,1
,0
,8
,1
,-1
,1
,0
,0
,0
,0
,0
,3
,0
,1
,1
,0
,0
,0
,1
,2
,0
,0
,-1
,
,
",4,Ireland
"7 July
,0
,1
,0
,2
,1
,3
,0
,0
,1
,0
,0
,0
,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,2
,0
,1
,
,
",24,Ireland
"8 Jul
,0
,0
,0
,0
,1
,9
,-1
,0
,3
,0
,0
,0
,1
,0
,0
,1
,0
,0
,0
,0
,1
,0
,5
,0
,0
,1
,
,
",11,Ireland
"9 Jul
,1
,0
,0
,0
,0
,12
,4
,1
,3
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,1
,0
,0
,0
,0
,2
,
,
",23,Ireland
"10 Jul
,0
,1
,1
,0
,0
,7
,-1
,0
,7
,0
,0
,0
,0
,0
,2
,0
,0
,0
,0
,0
,0
,0
,0
,0
,3
,3
,
,
",25,Ireland
"11 Jul
,0
,-1
,0
,1
,0
,14
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,2
,
,
",23,Ireland
"12 Jul
,0
,0
,0
,2
,0
,4
,0
,3
,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,1
,
,
",17,Ireland
"13 Jul
,0
,0
,0
,2
,0
,14
,0
,2
,3
,0
,0
,0
,0
,0
,2
,0
,5
,1
,0
,0
,0
,0
,1
,0
,0
,1
,
,
",11,Ireland
"14 Jul
,0
,1
,0
,0
,1
,5
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,1
,0
,
,
",32,Ireland
"15 Jul
,1
,0
,0
,4
,2
,11
,0
,0
,0
,0
,0
,0
,0
,0
,1
,0
,0
,0
,-1
,0
,0
,0
,0
,0
,1
,0
,
,
",14,Ireland
"16 Jul
,1
,1
,0
,1
,0
,25
,0
,0
,1
,0
,0
,1
,0
,0
,1
,0
,0
,0
,1
,0
,0
,0
,0
,1
,0
,1
,
,
",21,Ireland
"17 Jul
,0
,0
,0
,2
,1
,12
,2
,0
,3
,0
,0
,0
,0
,0
,0
,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,
,
",34,Ireland
"18 Jul
,0
,0
,0
,0
,0
,6
,1
,0
,2
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,
,
",21,Ireland
"19 Jul
,0
,0
,0
,0
,0
,5
,0
,0
,1
,0
,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,-1
,0
,0
,
,
",10,Ireland
"20 Jul
,1
,0
,0
,3
,0
,21
,0
,0
,1
,0
,1
,0
,1
,0
,0
,0
,5
,1
,1
,0
,0
,0
,0
,0
,0
,1
,
,
",6,Ireland
"21 Jul
,0
,0
,0
,1
,0
,11
,0
,0
,1
,0
,0
,0
,1
,0
,0
,0
,1
,0
,0
,0
,0
,0
,0
,1
,0
,1
,
,
",36,Ireland
"22 Jul
,0
,0
,0
,-1
,0
,2
,0
,0
,3
,0
,0
,0
,0
,0
,0
,1
,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,
,
",17,Ireland
"23 Jul
,0
,0
,0
,0
,0
,15
,1
,0
,3
,0
,0
,0
,0
,0
,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,
,
",7,Ireland
"24 Jul
,0
,0
,3
,2
,0
,11
,0
,1
,2
,0
,1
,0
,0
,1
,0
,0
,2
,0
,0
,0
,0
,1
,0
,0
,0
,0
,
,
",20,Ireland
"25 Jul
,0
,0
,0
,0
,0
,9
,0
,0
,1
,0
,0
,0
,0
,0
,0
,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,1
,
,
",24,Ireland
"26 Jul
,0
,0
,0
,1
,0
,5
,0
,0
,3
,0
,0
,0
,0
,0
,0
,0
,-1
,0
,0
,0
,1
,0
,0
,0
,0
,0
,
,
",12,Ireland
"27 Jul
,0
,1
,8
,0
,1
,16
,2
,0
,3
,0
,3
,1
,0
,0
,1
,0
,1
,0
,0
,0
,0
,0
,0
,1
,0
,0
,
,
",11,Ireland
"28 Jul
,0
,0
,0
,0
,0
,7
,0
,0
,2
,1
,2
,0
,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,1
,0
,0
,
,
",40,Ireland
"29 Jul
,0
,2
,11
,3
,0
,18
,0
,0
,29
,0
,9
,0
,7
,0
,0
,0
,3
,0
,1
,0
,0
,1
,0
,1
,1
,-1
,
,
",14,Ireland
"30 Jul
,0
,0
,0
,1
,1
,15
,0
,0
,17
,0
,1
,0
,1
,0
,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,
,
",85,Ireland
"31 Jul
,0
,6
,0
,0
,0
,4
,3
,0
,8
,0
,3
,0
,9
,0
,0
,7
,1
,1
,3
,0
,0
,0
,0
,0
,0
,0
,
,
",38,Ireland
"1 Aug
,0
,0
,0
,0
,2
,25
,0
,0
,6
,0
,19
,0
,0
,0
,0
,0
,0
,0
,1
,0
,0
,0
,0
,0
,0
,0
,
,
",45,Ireland
"2 Aug
,0
,0
,8
,2
,0
,2
,0
,1
,15
,0
,8
,1
,1
,0
,1
,0
,1
,0
,5
,0
,1
,0
,0
,1
,0
,0
,
,
",53,Ireland
"3 Aug
,0
,2
,0
,1
,0
,8
,0
,0
,33
,0
,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,1
,0
,0
,0
,0
,0
,
,
",46,Ireland
"4 Aug
,1
,0
,0
,2
,5
,5
,0
,0
,10
,0
,0
,0
,3
,0
,1
,0
,3
,0
,3
,0
,2
,1
,0
,0
,11
,1
,
,
",45,Ireland
"5 Aug
,0
,0
,2
,3
,1
,5
,1
,0
,19
,0
,8
,0
,3
,0
,1
,0
,1
,0
,23
,0
,0
,0
,0
,0
,2
,0
,
,
",50,Ireland
"6 Aug
,1
,2
,0
,0
,4
,5
,0
,0
,35
,1
,4
,0
,3
,0
,1
,0
,4
,1
,27
,0
,0
,0
,0
,1
,6
,2
,
,
",69,Ireland
"7 Aug
,4
,1
,2
,7
,1
,27
,1
,0
,110
,1
,1
,0
,1
,0
,1
,1
,6
,0
,7
,1
,0
,1
,0
,0
,1
,1
,
,
",98,Ireland
"8 Aug
,0
,0
,0
,0
,3
,16
,0
,0
,20
,0
,12
,0
,0
,0
,0
,0
,0
,0
,15
,0
,0
,-1
,0
,0
,0
,0
,
,
",174,Ireland
